species,rep,Apre,gspre,Epre,PARpre,Asat,gssat,gsmax,gsrelk,Esat,PARsat,Tleaf,VPDpre,VPDsat,MPa,treatment,date,ld,maxvalue,LA
Esi,8,4.78,0.05,1.07,110.59,8.49,0.06,0.4,0.15,1.54,1498.92,34.15,2.08,2.47,1.74,d,31/01/2017,,N,6
Esi,9,0.38,0,0,181.24,0.23,0,0.4,0,0.04,1500.25,33.55,2.27,2.6,3.06,d,31/01/2017,,N,6
Esi,3,0.35,0,0.11,221.4,0.13,0,0.4,0,0.14,1499,34.73,2.49,2.99,2.24,d,31/01/2017,,N,6
Esi,2,3.82,0.02,0.51,240.39,5.09,0.02,0.4,0.05,0.7,1498.88,36.57,3,3.37,1.69,w,31/01/2017,ld,N,6
Evi,6,8.27,0.08,2.42,350.44,12.57,0.09,0.45,0.2,2.54,1498.75,26.16,2.94,2.97,1.31,w,6/12/2016,ld,N,6
Evi,20,14.96,0.12,3.21,401.5,20.67,0.14,0.45,0.31,3.75,1499.76,26.18,2.82,2.79,1.29,w,6/12/2016,ld,N,6
Evi,17,13.23,0.1,2.73,450.26,14.92,0.08,0.45,0.18,2.44,1500.05,26.45,2.86,2.94,1.46,d,6/12/2016,,N,6
Evi,9,12.58,0.09,2.4,450.02,18.29,0.11,0.45,0.24,2.85,1500.28,26.38,2.8,2.78,1.27,d,6/12/2016,,N,6
Evi,15,10.5,0.2,1.19,300.5,17.12,0.27,0.45,0.6,1.83,1499.62,26.81,0.61,0.73,0.99,w,7/12/2016,,Y,6
Evi,24,10.13,0.15,1.03,300.95,16.19,0.19,0.45,0.42,1.36,1499.41,27.14,0.71,0.76,1.04,d,7/12/2016,,N,6
Evi,8,14.14,0.15,0.88,401.35,23.56,0.14,0.45,0.31,0.97,1499.71,27.36,0.62,0.73,1.56,d,7/12/2016,,N,6
Evi,5,17.83,0.1,0.81,1000.06,17.09,0.14,0.45,0.31,0.84,1500.27,27.13,0.82,0.6,1.29,w,7/12/2016,,Y,6
Evi,5,8.19,0.05,0.4,299.91,9.11,0.06,0.45,0.13,0.63,1499.27,26.36,0.88,1.05,1.55,w,12/12/2016,ld,N,6
Evi,6,10.39,0.16,1.15,300.43,15.78,0.2,0.45,0.44,1.49,1500.3,26.37,0.76,0.79,1.37,w,12/12/2016,,Y,6
Evi,10,0.06,0.01,0.12,299.72,0.22,0,0.45,0,0.03,1499.85,27.65,1.03,1.36,5.15,d,12/12/2016,,N,6
Evi,3,0.01,0.01,0.09,170.48,0.06,0,0.45,0,0.01,1499.27,27.32,0.93,1.26,2.93,d,12/12/2016,,N,6
Evi,15,8.85,0.1,0.8,250.21,12.99,0.13,0.45,0.29,1.21,1499.24,26.96,0.79,0.93,1.3,w,12/12/2016,,Y,6
Evi,18,0.4,0.01,0.07,250.47,0.8,0,0.45,0,0,1500.27,27.12,0.98,1.12,2.02,d,12/12/2016,,N,6
Evi,20,11.32,0.23,1.84,349.03,19.62,0.29,0.45,0.64,2.23,1498.74,27.46,0.83,0.82,1.3,w,12/12/2016,,Y,6
Evi,21,-0.26,0.01,0.15,361.39,0.14,0.01,0.45,0.02,0.08,1498.87,28.48,1.14,1.4,4.5,d,12/12/2016,,N,6
Evi,11,-0.46,0.04,0.59,170.55,0.12,0.02,0.45,0.04,0.39,1500.33,30.1,1.37,1.68,2.48,d,13/12/2016,,N,6
Evi,7,-0.9,0.04,0.64,419.47,-0.61,0.03,0.45,0.07,0.4,1499.37,30.16,1.42,1.52,2.89,d,13/12/2016,,N,6
Evi,4,1.08,0,0.02,300.32,0.1,0,0.45,0,0.02,1499.48,30.85,1.38,1.79,2.33,d,13/12/2016,,N,6
Evi,23,-0.02,0,0.02,320.65,0.24,0,0.45,0,0.06,1500.96,32.38,1.7,2.37,5.3,d,13/12/2016,,N,6
Evi,1,2.83,0.07,1.68,49.55,10.45,0.08,0.45,0.18,2.09,1499.96,23.96,2.54,2.8,1,d,15/12/2016,,N,6
Evi,6,3.86,0.19,3.71,70.27,10.54,0.21,0.45,0.47,4.23,1498.43,23.53,2.08,2.18,1.28,d,15/12/2016,,N,6
Evi,15,3.04,0.22,3.83,51.02,11.82,0.25,0.45,0.56,4.48,1499.97,23.46,1.86,1.93,1.38,w,15/12/2016,,Y,6
Evi,20,1.78,0.37,4.95,31.15,15.8,0.45,0.45,1,5.85,1498.53,23.09,1.49,1.48,1.29,w,15/12/2016,,Y,6
Evi,2,0.8,0.01,0.13,49.8,0.78,0.01,0.45,0.02,0.16,1499.13,23.81,1.84,1.89,1.4,d,15/12/2016,,N,6
Evi,5,6.51,0.07,0.64,128.95,11.04,0.08,0.45,0.18,0.99,1498.96,24.16,0.95,1.22,1.17,w,19/12/2016,ld,N,6
Evi,6,7.43,0.15,1.31,179.95,10.25,0.1,0.45,0.22,1.16,1499.55,24.32,0.91,1.22,1.47,w,19/12/2016,ld,N,6
Evi,20,12.5,0.25,1.96,280.06,18.07,0.4,0.45,0.89,3.04,1499.34,24.47,0.84,0.86,1.42,w,19/12/2016,,Y,6
Evi,15,4.93,0,0.04,110.28,7.53,0.03,0.45,0.07,0.31,1499.38,25.17,1.03,1.18,1.56,w,19/12/2016,ld,N,6
Evi,5,1.26,0.03,0.32,270.1,1.16,0.02,0.45,0.04,0.25,1499.42,27.1,0.91,1.11,2.19,w,21/12/2016,ld,N,6
Evi,6,4.48,0.01,0.13,241.02,5.32,0.03,0.45,0.07,0.39,1499.56,27.71,1.07,1.37,1.01,w,21/12/2016,ld,N,6
Evi,20,4.42,0.23,2.15,90.05,14.49,0.25,0.45,0.56,2.82,1499.46,26.94,0.98,1.21,1.76,w,21/12/2016,,Y,6
Evi,15,0.07,0,0.02,179.79,0.14,0,0.45,0,0.02,1500.7,27.78,1.46,1.68,1.81,w,21/12/2016,ld,N,6
Aan,1,19.21,0.46,2.83,481.11,28.24,0.52,0.82,0.63,3.395,1499.43,28.88,1.27,1.34,2.28,d,23/02/2017,,N,1.5
Aan,4,1.55,0.03,0.265,929.93,1.76,0.02,0.82,0.03,0.25,1499.15,30.82,1.96,2.12,4.71,d,23/02/2017,,N,0.9
Aan,12,17.71,0.49,3.815,451.26,33.19,0.62,0.82,0.75,4.75,1499.5,30.07,1.57,1.56,1.97,w,23/02/2017,,Y,1.2
Aan,24,0.98,0.03,0.31,400.72,3.48,0.05,0.82,0.06,0.53,1500.27,30.92,1.99,2.13,3.56,d,23/02/2017,,N,0.9
Aan,6,10.85,0.41,3.61,260.98,22.97,0.44,0.82,0.53,4.255,1500.33,30.78,1.77,1.95,3.2,d,23/02/2017,,N,1.2
Aan,18,7.28,0.41,2.3,99.29,27.34,0.49,0.82,0.6,2.905,1499.97,26.71,1.16,1.21,1.53,d,27/02/2017,,N,1.2
Aan,14,6.56,0.52,2.78,131.35,23.78,0.6,0.82,0.73,3.515,1498.58,26.53,1.1,1.21,1.77,d,27/02/2017,,N,1.2
Aan,23,7.55,0.46,2.6,121.49,29.76,0.55,0.82,0.67,3.53,1499.12,27.07,1.17,1.32,2.17,w,27/02/2017,,Y,1.2
Aan,22,16.58,0.39,2.425,451.42,25.41,0.46,0.82,0.56,2.985,1499.58,27.44,1.26,1.33,1.56,d,27/02/2017,,N,1.2
Aan,1,4.45,0.12,1.075,159.57,8.77,0.1,0.82,0.13,1.05,1498.47,24.56,1.83,2.01,3.46,d,8/03/2017,,N,1.2
Aan,2,14.57,0.6,4.41,181.39,33.71,0.74,0.82,0.9,5.36,1499.34,24.25,1.55,1.54,1.06,w,8/03/2017,,Y,1.8
Aan,7,-0.17,0.01,0.13,70.37,1.39,0.02,0.82,0.02,0.135,1499.22,24.43,1.71,1.81,5.76,d,8/03/2017,,N,1.83
Aan,3,2.06,0.06,0.565,180.67,4.62,0.06,0.82,0.08,0.605,1498.63,24.86,1.76,1.92,2.25,d,8/03/2017,,N,0.9
Aan,8,2.73,0.2,1.715,149.61,11.62,0.18,0.82,0.22,1.68,1499.05,24.63,1.74,1.83,2.15,d,8/03/2017,,N,1.2
Aan,19,9.48,0.73,4.76,250.45,21.95,0.82,0.82,1,5.625,1498.65,26.4,1.35,1.44,1.15,d,13/03/2017,,N,1.5
Aan,2,15.91,0.45,1.795,350.5,30.17,0.6,0.82,0.72,2.65,1498.74,28.48,0.83,0.92,1.34,d,27/03/2017,,N,1.8
Aan,12,6.82,0.24,1.38,500.02,15.53,0.3,0.82,0.36,1.855,1500.26,31.93,1.14,1.24,2.72,d,27/03/2017,,N,1.2
Aan,18,3.2,0,0.01,320.55,3.73,0.03,0.82,0.04,0.24,1500,32.37,1.28,1.44,3.09,d,27/03/2017,,N,1.2
Aan,19,8.16,0.16,1.005,299.22,20.49,0.27,0.82,0.33,1.84,1499.82,31.88,1.22,1.33,1.96,d,27/03/2017,,N,1.2
Aan,2,3.32,0.04,0.325,399.69,4.43,0.04,0.82,0.05,0.33,1500.08,25.17,1.62,1.61,2.05,d,31/03/2017,,N,2.1
Aan,16,10.13,0.07,0.675,439.4,12.8,0.07,0.82,0.08,0.73,1499.15,24.47,2.07,2.14,3.82,d,6/04/2017,,N,1.5
Aan,2,4.35,0.03,0.37,1600.48,3.12,0.03,0.82,0.03,0.36,1499.03,27.74,2.54,2.55,4.29,d,6/04/2017,,N,1.5
Aan,19,2.22,0.14,0.92,391.18,5.67,0.09,0.82,0.11,0.685,1498.94,26.37,1.29,1.53,5.37,d,6/04/2017,,N,1.2
Aan,15,1.34,0.04,0.305,390.93,1.44,0.06,0.82,0.07,0.385,1499.77,25.7,1.35,1.35,4.96,d,13/04/2017,,N,1.2
Aan,2,-0.33,0.02,0.145,268.6,0.62,0.03,0.82,0.03,0.195,1498.6,25.37,1.29,1.49,6.36,d,13/04/2017,,N,1.5
Aan,21,13.6,0.24,1.425,280.21,26.09,0.3,0.82,0.37,2.005,1498.7,25.75,1.21,1.33,1.6,d,13/04/2017,,N,1.2
Asm,1,6.08,0.05,0.64,300.99,6.69,0.05,0.15,0.33,0.76,1498.97,28.68,1.32,1.45,1.53,w,23/02/2017,ld,N,6
Asm,11,2.97,0.02,0.33,430.69,3.41,0.03,0.15,0.2,0.41,1499.33,28.83,1.4,1.48,2.04,d,23/02/2017,,N,6
Asm,15,5.63,0.12,1.25,111.38,7.89,0.11,0.15,0.73,1.34,1499.98,26.71,1.05,1.28,1.82,d,27/02/2017,,Y,6
Asm,24,7,0.12,1.29,171,9.64,0.1,0.15,0.67,1.54,1499.06,27.46,1.1,1.51,1.4,d,27/02/2017,,Y,6
Asm,16,6.58,0.22,2.25,401.31,6.62,0.15,0.15,1,2.01,1499.39,27.98,1.07,1.44,1.44,d,27/02/2017,,Y,6
Asm,23,5.39,0.12,1.31,130.52,9.45,0.12,0.15,0.8,1.71,1498.69,27.37,1.14,1.44,1.26,w,27/02/2017,,Y,6
Asm,11,0.38,0.01,0.13,100.36,0.7,0.01,0.15,0.07,0.13,1499.02,24.62,1.96,2.01,3.34,d,8/03/2017,,N,6
Asm,2,0.88,0.01,0.19,240.96,1.39,0.01,0.15,0.07,0.23,1498.82,25.43,1.91,1.98,4.43,d,8/03/2017,,N,6
Asm,3,1.79,0.02,0.31,100.39,2.75,0.02,0.15,0.13,0.42,1499,25.57,1.87,2.18,2.64,d,8/03/2017,,N,6
Asm,15,2.98,0.02,0.26,150.86,1.94,0.02,0.15,0.13,0.41,1498.71,26.7,1.67,1.84,2.52,d,13/03/2017,,N,6
Asm,24,2.62,0.02,0.3,170.98,5.4,0.02,0.15,0.13,0.32,1498.73,26.45,1.65,1.72,2.05,d,13/03/2017,,N,6
Asm,20,0.7,0.01,0.2,280.01,0.67,0.01,0.15,0.07,0.24,1499.2,28.92,1.97,2.35,3.27,d,13/03/2017,,N,6
Asm,1,0.43,0.01,0.1,220.65,0.52,0,0.15,0,0.02,1499.7,28.86,1.05,1.32,2.75,d,27/03/2017,,N,6
Asm,3,5.27,0.03,0.37,380.28,5.17,0.03,0.15,0.2,0.52,1499.33,31.4,1.18,1.51,1.96,w,27/03/2017,ld,N,6
Asm,9,1.95,0.02,0.18,280.07,2.34,0.01,0.15,0.07,0.16,1499.56,30.93,1.02,1.39,2.45,d,27/03/2017,,N,6
Asm,4,0.24,0,0.02,500.93,0.43,0.01,0.15,0.07,0.16,1499.86,32.18,1.32,1.78,2.3,d,27/03/2017,,N,6
Asm,8,4.11,0.01,0.14,370.61,4.09,0.02,0.15,0.13,0.34,1499.39,32.58,1.06,1.4,1.94,d,27/03/2017,,N,6
Asm,13,-0.1,0.01,0.1,279.54,0.15,0,0.15,0,0.05,1499.48,32.83,1.27,1.62,3.84,d,27/03/2017,,N,6
Asm,4,2.21,0.02,0.4,279.94,2.32,0.03,0.15,0.2,0.45,1499.67,25.11,1.72,1.74,2.04,d,31/03/2017,,N,6
Asm,1,0.89,0.01,0.13,170.88,1.19,0.01,0.15,0.07,0.16,1499.4,24.84,2.19,2.19,4.5,d,6/04/2017,,N,6
Asm,4,2.89,0.02,0.36,481.32,2.7,0.02,0.15,0.13,0.38,1499.88,26.19,2.26,2.51,1.99,d,6/04/2017,,N,6
Asm,9,1.62,0,0.1,431.43,1.59,0.01,0.15,0.07,0.17,1498.8,26.39,2.22,2.56,2.26,d,6/04/2017,,N,6
Asm,21,0.56,0.01,0.06,120.33,0.23,0.01,0.15,0.07,0.12,1498.69,25.44,1.14,1.42,1.58,d,13/04/2017,,N,6
Asm,9,0.75,0.01,0.07,361.12,0.75,0.01,0.15,0.07,0.13,1499.53,26.05,1.29,1.46,3.3,d,13/04/2017,,N,6
Cgu,12,10.4,0.28,2.65,350.56,12.68,0.3,0.3,1,3.3,1499.24,28.72,1.01,1.19,1.05,w,23/02/2017,,Y,6
Cgu,11,4.52,0.03,0.38,319.35,5.18,0.04,0.3,0.13,0.55,1499.06,28.98,1.34,1.53,1.75,d,23/02/2017,,N,6
Cgu,13,0.06,0,0.04,771.19,0.22,0,0.3,0,0.07,1498.69,30.72,1.7,1.94,3.93,d,23/02/2017,,N,6
Cgu,9,0.85,0.01,0.09,521.13,0.26,0.01,0.3,0.03,0.1,1498.61,29.8,1.65,1.84,5.55,d,23/02/2017,,N,6
Cgu,15,5.3,0.16,1.64,239.38,5.74,0.14,0.3,0.47,1.83,1499.25,27.12,1.09,1.41,1.72,d,27/02/2017,,N,6
Cgu,23,8.79,0.11,1.31,259.97,12.3,0.12,0.3,0.4,1.71,1498.49,27.66,1.2,1.48,1.72,d,27/02/2017,,N,6
Cgu,22,-0.14,0,0.02,150.61,0.2,0,0.3,0,0.03,1500.39,27.43,1.33,1.62,4.29,d,27/02/2017,,N,6
Cgu,17,0.1,0,0.04,69.88,0.13,0,0.3,0,0.05,1498.9,27.54,1.38,1.73,3.57,d,27/02/2017,,N,6
Cgu,15,5.13,0.04,0.79,311.23,4.66,0.04,0.3,0.13,0.81,1499.12,28.59,1.86,2.18,1.18,d,13/03/2017,,N,6
Cgu,12,3.37,0.02,0.23,119.18,3.8,0.03,0.3,0.1,0.33,1499.92,29.13,0.97,1.25,1.89,w,27/03/2017,ld,N,6
Cgu,13,5.77,0.03,0.35,250.3,6.04,0.04,0.3,0.13,0.56,1498.63,31.12,1.04,1.35,2.23,w,27/03/2017,ld,N,6
Cgu,24,2.7,0.02,0.17,311.19,2.7,0.02,0.3,0.07,0.3,1498.7,32.61,1.08,1.41,1.95,w,27/03/2017,ld,N,6
Cgu,12,7.24,0.06,0.82,246.19,6.64,0.06,0.3,0.2,0.8,1500.2,25.29,1.44,1.43,1.74,w,31/03/2017,ld,N,6
Cgu,12,6.1,0.05,0.65,401.29,6.22,0.05,0.3,0.17,0.78,1498.93,25.08,1.44,1.45,1.76,w,31/03/2017,ld,N,6
Cgu,13,6.47,0.05,0.69,430.54,5.06,0.04,0.3,0.13,0.68,1499.53,25.23,1.49,1.58,1.79,w,31/03/2017,ld,N,6
Cgu,13,5.15,0.05,0.82,361.25,3.97,0.04,0.3,0.13,0.7,1499.68,25.11,1.62,1.63,2.51,w,31/03/2017,ld,N,6
Cgu,13,7.36,0.11,1.66,219.64,5.83,0.05,0.3,0.17,0.84,1500.05,25.15,1.54,1.63,2.47,w,31/03/2017,ld,N,6
Cgu,14,3.95,0.04,0.66,209.52,4.74,0.04,0.3,0.13,0.71,1499.5,25.04,1.68,1.66,2.43,w,NA,ld,N,6
Cgu,24,9.12,0.1,1.51,339.19,10.61,0.11,0.3,0.37,1.64,1499.03,24.94,1.56,1.54,1.81,w,31/03/2017,ld,N,6
Cgu,24,5.11,0.1,1.47,300.05,4.4,0.05,0.3,0.17,0.78,1498.93,25.02,1.56,1.59,1.64,w,31/03/2017,ld,N,6
Cgu,20,0.04,0,0.08,219.7,-0.01,0.01,0.3,0.03,0.11,1500.56,25.16,1.72,1.73,2.79,d,31/03/2017,,N,6
Cgu,20,0.05,0,0.08,231.22,0.04,0.01,0.3,0.03,0.1,1499.6,25.16,1.78,1.78,2.51,d,31/03/2017,,N,6
Cgu,13,6.28,0.05,1.04,211.23,7.69,0.04,0.3,0.13,0.98,1498.72,25.71,2.04,2.39,1.45,w,6/04/2017,ld,N,6
Cgu,24,11.65,0.11,2.03,320.67,16.37,0.13,0.3,0.43,2.55,1499.31,25.85,1.93,2.04,1.47,w,6/04/2017,,Y,6
Cgu,16,11.58,0.13,2.32,331.16,16.3,0.15,0.3,0.5,2.88,1498.75,26.04,1.88,2.04,1.31,w,6/04/2017,,Y,6
Cgu,20,-0.06,0,0.07,190.89,0,0,0.3,0,0.08,1499.7,26.5,2.2,2.55,2.95,d,6/04/2017,,N,6
Cgu,24,10.92,0.22,2.05,360.64,13.67,0.23,0.3,0.77,2.42,1499.38,25.98,1,1.14,1.28,w,13/04/2017,,Y,6
Cgu,12,2.6,0.2,1.82,60.31,13.83,0.24,0.3,0.8,2.27,1499.39,25.44,0.95,1.02,0.96,w,13/04/2017,,Y,6
Ela,1,14.41,0.11,1.51,381.06,18.04,0.12,0.71,0.17,1.8,1499.46,28.78,1.46,1.48,2.98,d,23/02/2017,,N,1.8
Ela,5,18.82,0.61,10.78,300.93,31.85,0.61,0.71,0.86,7.76,1499.54,28.62,1.83,1.32,3.05,w,23/02/2017,,Y,1.5
Ela,6,10.76,0.13,1.73,360.92,12.35,0.15,0.71,0.21,2.22,1498.59,29.29,1.37,1.47,2.62,d,23/02/2017,,N,2.4
Ela,10,19.11,0.58,7.12,451.19,29.29,0.63,0.71,0.89,8.56,1499.09,29.65,1.27,1.4,3.06,w,23/02/2017,,Y,1.5
Ela,9,11.8,0.11,2.17,450.89,15.26,0.13,0.71,0.18,2.99,1498.86,31.25,2.03,2.27,1.65,d,23/02/2017,,N,2.1
Ela,4,12.38,0.12,2.38,330.92,14.33,0.12,0.71,0.16,2.65,1498.57,31.54,1.99,2.27,2.4,d,23/02/2017,,N,3
Ela,19,10.45,0.38,3.59,141.34,22.06,0.42,0.71,0.59,4.79,1499.08,26.55,1,1.2,1.46,d,27/02/2017,,N,2.7
Ela,21,16.66,0.59,6.2,260.68,29.54,0.71,0.71,1,8.43,1499.28,26.86,1.1,1.25,2.38,w,27/02/2017,,Y,1.5
Ela,1,0.13,0.01,0.19,130.96,0.25,0.01,0.71,0.01,0.19,1498.66,24.45,1.87,2.03,6.83,d,8/03/2017,,N,2.61
Ela,3,14.25,0.24,4.17,251.08,22.9,0.26,0.71,0.37,4.83,1498.97,25.09,1.76,1.88,1.36,d,8/03/2017,,N,2.1
Ela,6,8.09,0.47,6.65,130.44,18.1,0.57,0.71,0.81,8.27,1499.08,24.67,1.47,1.53,1.99,d,8/03/2017,,N,2.1
Ela,7,4.94,0.43,5.57,69.75,22.33,0.5,0.71,0.7,6.85,1499.33,24.42,1.38,1.47,1.51,d,8/03/2017,,N,2.7
Ela,2,0.12,0.01,0.22,150.79,0.22,0.01,0.71,0.02,0.27,1499.21,24.87,1.85,1.97,4.81,d,8/03/2017,,N,2.7
Ela,20,0.97,0.05,0.93,121.04,3.66,0.05,0.71,0.07,0.9,1499.39,26.85,1.74,1.91,3.9,d,13/03/2017,,N,1.8
Ela,21,18.88,0.31,4.64,159.66,18.1,0.38,0.71,0.53,6.12,1499.06,27.02,1.53,1.65,2.34,w,13/03/2017,,Y,1.8
Ela,22,13.67,0.22,3.66,361.26,19.21,0.26,0.71,0.36,4.49,1498.76,28.02,1.67,1.77,2.1,d,13/03/2017,,N,3
Ela,3,12.61,0.26,2.46,579.44,16.19,0.31,0.71,0.44,3.18,1499.88,29.21,0.94,1.03,1.83,d,27/03/2017,,N,2.1
Ela,5,7.1,0.23,2.31,419.66,13.51,0.27,0.71,0.37,3.09,1498.87,29.79,1.03,1.17,2.13,d,27/03/2017,,N,2.1
Ela,6,16.16,0.35,3,341.07,27.99,0.45,0.71,0.64,4.26,1498.68,29.6,0.88,0.97,2.09,d,27/03/2017,,N,2.4
Ela,8,15.71,0.25,2.42,359.33,26.73,0.37,0.71,0.53,3.8,1499.31,29.88,0.97,1.02,2.73,d,27/03/2017,,N,1.5
Ela,10,17.22,0.13,1.76,700.82,19.79,0.16,0.71,0.22,2.3,1500.13,32.05,1.38,1.46,2.77,d,27/03/2017,,N,2.1
Ela,21,1.56,0,0.03,240.42,1.72,0.03,0.71,0.04,0.36,1499.56,32.26,1.28,1.4,2.57,d,27/03/2017,,N,1.8
Ela,13,12.61,0.17,2.07,240.21,20.5,0.22,0.71,0.31,2.96,1499.91,32.16,1.21,1.33,2.46,d,27/03/2017,,N,1.8
Ela,22,7.62,0.04,0.5,330.42,8.5,0.06,0.71,0.09,0.95,1499.75,32.08,1.28,1.51,2.61,d,27/03/2017,,N,2.4
Ela,5,2.84,0.03,0.47,299.74,2.85,0.03,0.71,0.05,0.58,1498.49,25.25,1.66,1.73,2.66,d,31/03/2017,,N,2.1
Ela,10,1.72,0.02,0.38,489.93,1.74,0.02,0.71,0.04,0.45,1499.55,25.19,1.84,1.78,3.45,d,31/03/2017,,N,2.1
Ela,3,9.67,0.04,0.87,300.72,6.42,0.03,0.71,0.04,0.64,1499.28,25.37,2.15,2.38,2.77,d,6/04/2017,,N,1.5
Ela,5,2.39,0.01,0.3,391.37,2.63,0.02,0.71,0.02,0.4,1499.44,25.42,2.21,2.32,4.32,d,6/04/2017,,N,1.5
Ela,10,5.09,0.02,0.55,531.09,5.38,0.03,0.71,0.04,0.64,1500.23,26.09,2.29,2.45,4.52,d,6/04/2017,,N,1.5
Epo,1,0.11,0.01,0.33,501.24,0.42,0.01,0.55,0.02,0.26,1498.51,30.12,2.4,2.79,4.33,d,23/02/2017,,N,6
Epo,6,3,0.02,0.31,311.14,3.65,0.02,0.55,0.04,0.41,1499.25,29.4,1.43,1.78,3.45,d,23/02/2017,,N,6
Epo,7,13.27,0.22,2.7,451.15,17.17,0.22,0.55,0.4,3.16,1498.5,29.79,1.27,1.5,1.75,w,23/02/2017,,Y,6
Epo,8,13.69,0.31,3.47,440.87,17.99,0.29,0.55,0.53,4.11,1499.21,29.76,1.22,1.53,1.91,w,23/02/2017,,Y,6
Epo,10,4.64,0.21,2.01,79.92,14.54,0.31,0.55,0.56,2.84,1498.94,26.22,1.03,1,2.39,d,27/02/2017,,N,6
Epo,11,5.4,0.06,0.76,170.65,7.32,0.06,0.55,0.11,0.9,1499.14,27.39,1.28,1.63,2.57,d,27/02/2017,,N,6
Epo,17,19.44,0.15,1.77,441.29,13.6,0.15,0.55,0.27,2.11,1500.12,27.74,1.2,1.45,1.36,d,27/02/2017,,N,6
Epo,16,12.97,0.15,1.8,480.86,15.2,0.15,0.55,0.27,2.21,1499.21,28.46,1.24,1.49,2.46,d,27/02/2017,,N,6
Epo,13,13.32,0.28,5.24,481.11,17.07,0.27,0.55,0.49,5.65,1498.63,27.41,2.06,2.25,1.41,d,27/02/2017,,N,6
Epo,2,10.05,0.44,4.75,171.03,21.57,0.54,0.55,0.98,5.94,1499.31,24.44,1.24,1.31,1.19,w,8/03/2017,,Y,6
Epo,13,10.15,0.3,3.85,400.92,14.4,0.27,0.55,0.49,4.22,1499.12,27.83,1.37,1.65,1.58,d,13/03/2017,,N,6
Epo,16,9.88,0.16,2.41,340.91,13.43,0.17,0.55,0.31,3.1,1498.86,28.32,1.59,1.87,1.99,d,13/03/2017,,N,6
Epo,2,10.18,0.41,2.31,199.84,24.1,0.55,0.55,1,3.48,1498.99,28.79,0.63,0.74,1.3,w,27/03/2017,,Y,6
Epo,7,16.12,0.35,2.96,481.34,22.54,0.37,0.55,0.67,3.67,1499.92,31.81,0.93,1.08,2.34,d,27/03/2017,,N,6
Epo,8,0.53,0,0,470.51,0.66,0,0.55,0,0.08,1499.2,32.37,1.39,1.57,5.48,d,27/03/2017,,N,6
Epo,13,6.54,0.06,0.79,309.48,7.49,0.06,0.55,0.11,0.9,1499.75,32.43,1.27,1.61,1.92,d,27/03/2017,,N,6
Epo,15,11.6,0.35,2.85,260.85,20.76,0.4,0.55,0.73,3.87,1499.49,31.87,0.88,1.06,1.65,d,27/03/2017,,N,6
Epo,7,4.57,0.04,0.64,680.02,3.45,0.03,0.55,0.05,0.55,1500.2,25.11,1.72,1.74,2.68,d,31/03/2017,,N,6
Epo,15,0.06,0.01,0.14,179.7,0.11,0.01,0.55,0.02,0.17,1500.56,25.12,1.79,1.77,4.52,d,31/03/2017,,N,6
Epo,13,2.08,0.01,0.24,280.42,1.71,0.01,0.55,0.02,0.24,1499.07,25.17,1.79,1.79,2.5,d,31/03/2017,,N,6
